"playerid","Name.1","Team.1","G.1","AB.1","PA.1","H.1","X1B.1","X2B.1","X3B.1","HR.1","R.1","RBI.1","BB.1","IBB.1","SO.1","HBP.1","SF.1","SH.1","GDP.1","SB.1","CS.1","AVG.1","Name.2","Team.2","G.2","AB.2","PA.2","H.2","X1B.2","X2B.2","X3B.2","HR.2","R.2","RBI.2","BB.2","IBB.2","SO.2","HBP.2","SF.2","SH.2","GDP.2","SB.2","CS.2","AVG.2"
185,"Johnny Damon","Tigers",78,292,336,80,51,21,2,6,54,28,40,1,46,1,1,2,3,7,1,0.274,"Johnny Damon","Tigers",67,247,277,66,46,15,3,2,27,23,29,1,44,1,0,0,2,4,0,0.267
242,"Paul Konerko","White Sox",80,291,338,87,51,16,0,20,50,63,39,4,53,3,5,0,7,0,0,0.299,"Paul Konerko","White Sox",69,257,293,84,50,14,1,19,39,48,33,3,57,2,1,0,2,0,1,0.327
243,"Carlos Lee","Astros",86,329,355,79,53,13,1,12,35,45,22,1,36,1,3,0,12,1,3,0.24,"Carlos Lee","Astros",71,276,294,70,42,16,0,12,32,44,15,0,23,2,1,0,8,2,0,0.254
319,"Adam Dunn","Nationals",88,320,366,92,42,26,2,22,51,59,40,6,108,4,2,0,2,0,0,0.288,"Adam Dunn","Nationals",70,238,282,53,27,10,0,16,34,44,37,4,91,5,2,0,8,0,1,0.223
443,"Juan Pierre","White Sox",86,339,384,87,77,9,1,0,46,14,24,0,25,11,0,10,5,32,11,0.257,"Juan Pierre","White Sox",74,312,350,92,80,9,2,1,50,33,21,0,22,10,2,5,3,36,7,0.295
454,"Juan Uribe","Giants",81,283,319,71,43,15,1,12,39,50,29,2,53,2,5,0,11,1,2,0.251,"Juan Uribe","Giants",67,238,256,58,36,9,1,12,25,35,16,4,39,2,0,0,9,0,0,0.244
470,"Brandon Inge","Tigers",84,299,339,79,49,22,2,6,21,39,36,4,72,1,3,0,8,1,2,0.264,"Brandon Inge","Tigers",60,215,241,48,32,6,3,7,26,31,18,0,62,4,4,0,4,3,1,0.223
520,"Alex Gonzalez","Blue Jays",85,328,348,85,42,25,1,17,47,50,17,0,65,1,2,0,9,1,0,0.259,"Alex Gonzalez","Braves",72,267,292,64,39,17,2,6,27,38,14,2,53,6,2,3,7,0,2,0.24
525,"Derrek Lee","Cubs",85,322,371,75,52,13,0,10,42,36,45,1,82,2,2,0,12,1,2,0.233,"Derrek Lee","- - -",63,225,255,67,36,22,0,9,38,44,28,0,52,0,2,0,11,0,1,0.298
607,"Raul Ibanez","Phillies",85,292,337,71,43,18,3,7,36,39,39,5,53,0,6,0,10,2,2,0.243,"Raul Ibanez","Phillies",70,269,299,83,53,19,2,9,39,44,29,6,55,0,1,0,5,2,1,0.309
